Inference for Stan model: anon_model_b3ecf90648be7fd4e7aef1dac29f3753.
4 chains, each with iter=1000; warmup=500; thin=1; 
post-warmup draws per chain=500, total post-warmup draws=2000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
pi[0]            0.5  7.9e-4   0.04   0.43   0.48    0.5   0.52   0.57 2000.0    1.0
pi[1]            0.5  7.9e-4   0.04   0.43   0.48    0.5   0.52   0.57 2000.0    1.0
theta[0,0]      0.01  2.2e-4   0.01 2.7e-4 3.2e-3 7.6e-3   0.01   0.04 2000.0    1.0
theta[1,0]      0.01  2.3e-4   0.01 2.1e-4 2.7e-3 6.9e-3   0.01   0.04 2000.0    1.0
theta[0,1]      0.16    0.11   0.16 4.0e-4 7.1e-3   0.08    0.3   0.42    2.0   3.28
theta[1,1]      0.08    0.09   0.13 3.1e-4 4.0e-3   0.01   0.12   0.39    2.0   3.69
theta[0,2]      0.16    0.19   0.27 4.0e-4 4.1e-3   0.01   0.25    0.7    2.0   8.27
theta[1,2]      0.31    0.22   0.31 5.1e-4 7.3e-3   0.15   0.63   0.73    2.0   6.29
theta[0,3]      0.01  2.2e-4   0.01 3.0e-4 3.0e-3 7.4e-3   0.01   0.04 2000.0    1.0
theta[1,3]      0.08    0.09   0.13 2.9e-4 4.3e-3   0.01    0.1   0.39    2.0   3.81
theta[0,4]      0.31    0.16   0.23 9.9e-4   0.09   0.31   0.49   0.71    2.0   3.87
theta[1,4]      0.09     0.1   0.14 3.9e-4 4.2e-3   0.01   0.09   0.42    2.0   3.64
theta[0,5]      0.01  2.3e-4   0.01 2.3e-4 3.2e-3 7.4e-3   0.01   0.04 2000.0    1.0
theta[1,5]      0.31    0.22   0.31 5.4e-4 6.8e-3   0.16   0.63   0.73    2.0   5.96
theta[0,6]      0.01  2.2e-4   0.01 2.3e-4 3.0e-3 7.2e-3   0.01   0.04 2000.0    1.0
theta[1,6]      0.09     0.1   0.14 1.8e-4 4.0e-3   0.01    0.1   0.41    2.0   3.89
theta[0,7]      0.16    0.19   0.27 3.4e-4 4.4e-3   0.01   0.26   0.71    2.0   8.02
theta[1,7]      0.01  2.3e-4   0.01 2.7e-4 2.8e-3 6.6e-3   0.01   0.04 2000.0    1.0
theta[0,8]      0.16    0.19   0.26 4.0e-4 4.3e-3   0.01   0.19    0.7    2.0   7.13
theta[1,8]      0.01  2.6e-4   0.01 2.4e-4 3.0e-3 6.9e-3   0.01   0.04 1555.0    1.0
mu_lat[0,0]     42.0    0.01   0.57  41.05  41.51  41.99   42.5  42.93 2000.0    1.0
mu_lat[1,0]     42.0    0.01   0.58  41.05  41.49  41.99  42.51  42.94 2000.0    1.0
mu_lat[0,1]    41.86  9.7e-3   0.43  41.07  41.73  41.75  41.95  42.91 2000.0   1.04
mu_lat[1,1]    41.92    0.01    0.5  41.07  41.63  41.76  42.28  42.94 2000.0   1.02
mu_lat[0,2]    41.97    0.01    0.5  41.06  41.66  41.91  42.33  42.93 2000.0    1.0
mu_lat[1,2]    41.94  8.9e-3    0.4   41.1  41.89  41.91  41.99  42.88 2000.0    1.0
mu_lat[0,3]     42.0    0.01   0.55  41.06  41.54  42.02  42.45  42.93 2000.0    1.0
mu_lat[1,3]    41.94    0.01   0.52  41.06  41.67  41.76  42.35  42.94 2000.0   1.03
mu_lat[0,4]    41.85    0.07   0.29  41.23  41.74  41.76  41.91  42.75   18.0   1.08
mu_lat[1,4]    41.93    0.01    0.5  41.06  41.69  41.77  42.29  42.94 2000.0   1.03
mu_lat[0,5]     42.0    0.01   0.57  41.05  41.52  41.99  42.49  42.95 2000.0    1.0
